Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2017/3/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,CHN,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6497054,0.784445218,0.563236474,0.661055687,0.585932013,0.694307727,0.823883346,0.813809109,0.932185269,0.680590132,0.976960408,1.380637012,1.523939164,1.881147453,2.83320013,2.72747931,3.286814491,2.783410019,2.563551714,2.595877054,2.540036408,2.560529732,2.437085276,,
China,CHN,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,,4.469987229,,,,,,,,,,,,,,,,,5.877598392,6.161361255,6.352540355,5.025240295,4.381354886,4.033312965,4.114544934,3.772998053,3.111520596,3.474735188,3.876835921,3.655630926,4.050306,4.176654684,3.909443844,4.150214975,4.21555231,5.052507771,4.727298092,4.91959725,4.125196901,4.215788805,4.886321131,5.063612705,5.29859964,5.225152581,5.272581045,5.280314387,5.154160449,5.490918989,5.962822756,6.64440681,6.964948067,7.405764381,8.282925888,9.227572891,9.743508044,,
China,CHN,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,,12.45210728,,,,,,,,,,,,,,,,,9.957306584,9.396998273,9.6409985,15.37189852,18.58199432,18.17819721,15.48080913,11.82725663,11.65194327,12.41118038,9.691775073,5.72059866,6.103464916,4.712784504,4.979285778,6.054364063,5.434346696,6.079378778,5.700992091,6.259815195,7.190290176,7.048164709,7.236698703,7.617030083,8.057407177,8.379655777,8.973301654,9.64167756,11.72534264,12.85770228,14.77749864,15.13451171,15.76863656,16.35989317,16.18872456,16.11299183,16.83321048,,
China,CHN,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,,82.39676458,,,,,,,,,,,,,,,,,68.30739259,71.07997226,73.50599806,75.50294315,73.29152773,74.28248127,76.14708098,78.3188917,78.62423607,78.61968476,80.87599664,83.29082711,84.47718074,87.88939303,89.54956792,89.02005722,89.63957052,88.04755705,88.85205407,88.79368164,88.6502123,88.6747075,87.82295419,87.25913189,86.57031933,86.30159417,85.69259147,84.9946612,83.02443358,81.5599695,79.20859139,78.08460459,77.02304898,75.98593952,75.34978901,74.53106085,73.32746252,,
China,CHN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2571280000,1941660000,1913230000,2031030000,2250380000,2563160000,2680950000,2388490000,2339740000,2429110000,2307250000,2782510000,3692540000,5876100000,7107890000,7689000000,6943440000,7519650000,9954860000,13614100000,18099000000,22007000000,22321000000,22226000000,26139000000,27350000000,30942000000,39437000000,47516000000,52538000000,62091000000,71910000000,84940000000,91744000000,1.21E+11,1.49E+11,1.51E+11,1.83E+11,1.84E+11,1.95E+11,2.49E+11,2.66E+11,3.26E+11,4.38E+11,5.93E+11,7.62E+11,9.69E+11,1.22E+12,1.43E+12,1.20E+12,1.58E+12,1.90E+12,2.05E+12,2.21E+12,2.34E+12,2.27E+12,
China,CHN,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,,7.3648361,,,,,,,,,,,,,,,,,3.095272637,3.406089048,3.958278204,8.382385813,12.16021516,11.60567588,9.641563632,6.499831677,6.91962649,6.96112716,4.441040705,2.682882853,2.246155155,2.156061298,2.17564131,2.483561577,2.320246185,2.189410501,2.087506088,2.10530696,2.421438561,2.551668422,2.556689381,2.709078481,2.95555716,2.976779238,2.97023988,3.097688738,3.280303237,3.742718747,4.380126575,4.65677206,4.112627528,4.100826337,4.45331354,4.581018181,4.859310022,,
China,CHN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,2.204380131,1.521521021,1.434411479,3.087005572,3.464127781,2.538697325,2.081450139,1.665878273,1.6928007,1.669688049,1.887407805,2.09653001,1.81729042,2.111338219,2.050624139,2.015003864,1.904796141,1.810800455,1.624199655,1.638803543,1.948863349,1.855999642,2.220075506,1.882390232,1.742480416,1.204223961,1.412296363,1.496600392,1.284520616,1.223138961,1.293641075,1.201736791,
China,CHN,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,47.65351942,26.43049642,28.84984601,58.2542179,63.41160018,69.44329379,71.57782682,75.71729444,78.73018146,80.61494772,82.31104099,84.1302321,84.35817791,85.35833304,87.29499939,88.28043602,88.21798548,88.6032262,89.84089327,90.57047157,91.38190735,91.87906409,92.37869958,93.07604878,92.98912005,93.5740605,93.55065351,93.29944475,93.9343356,94.0216698,93.99402115,94.31847168,
China,CHN,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,8.158319871,8.231954582,8.048868128,6.700854701,6.339977852,5.953224663,7.307773777,7.457322552,3.949199722,4.982517483,5.335968379,4.112081514,10.3950104,10.04961487,0.598045413,0.349656432,0.659044626,0.477222113,0.236672426,0.363530934,0.255349682,0.85627756,0.602591868,0.890871707,0.749129548,0.90811422,1.17326573,1.611202249,2.623172428,1.930700361,2.599990155,3.489800654,3.2585253,2.560885464,
China,CHN,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.71036473,20.00051704,24.03083144,27.69449455,29.95698765,30.72185578,30.71959384,29.34072807,27.70852553,29.65105378,29.12490804,26.76018206,27.05557747,27.42211323,25.93902348,,
China,CHN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,23.02097657,25.75895273,11.64274043,11.45505044,8.246212052,8.150829759,8.308208321,6.507963827,5.477113399,4.453732716,3.350938988,3.575345449,3.907836027,3.80833843,2.801565216,2.381704616,3.143509612,3.157604219,2.592142346,2.536423358,2.434015555,2.29877661,1.811000299,1.686111763,2.205497417,1.698107797,1.688608535,1.693468579,1.501676314,1.521362829,1.458754918,1.223677644,
China,CHN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,15.27033876,12.56623055,12.41722901,14.58959598,14.60111186,13.9132578,12.65325995,12.26012411,11.32161769,10.81448285,10.04584434,8.246257162,8.211302772,7.126008042,6.620434944,6.013620875,5.436696221,5.340035256,4.958419133,4.387797641,3.504805838,3.228991483,2.87082381,2.714097345,2.505044408,2.935867921,2.795647371,2.851016789,2.746377375,2.713149212,2.707725228,2.768578186,
